model,forecast_date,target_date,h,mean,actual,lower_50,upper_50,lower_80,upper_80,lower_90,upper_90,lower_95,upper_95
CDC CovidHub Ensemble,2020-12-26,2021-01-02,1,17533.0,18801,16174.0,19487.0,15020.0,20638.0,14032.0,21665.0,13012.0,22283.0
CDC CovidHub Ensemble,2020-12-26,2021-01-09,2,18006.0,22236,16068.0,20501.0,14892.0,22120.0,14265.0,22846.0,13021.0,23748.0
CDC CovidHub Ensemble,2020-12-26,2021-01-16,3,17912.0,23425,16056.0,20002.0,14751.0,22445.0,14124.0,23227.0,12839.0,24145.0
CDC CovidHub Ensemble,2020-12-26,2021-01-23,4,17576.0,21727,16214.0,19154.0,14262.0,22343.0,13906.0,23311.0,12431.0,24332.0
CDC CovidHub Ensemble,2021-01-02,2021-01-09,1,17941.0,22236,17114.0,18909.0,15953.0,20522.0,15204.0,20960.0,14377.0,21846.0
CDC CovidHub Ensemble,2021-01-02,2021-01-16,2,17739.0,23425,16519.0,19181.0,15393.0,20861.0,14448.0,21887.0,13797.0,22469.0
CDC CovidHub Ensemble,2021-01-02,2021-01-23,3,17930.0,21727,16070.0,19913.0,14938.0,21830.0,14161.0,23138.0,13688.0,23886.0
CDC CovidHub Ensemble,2021-01-02,2021-01-30,4,17936.0,21857,15700.0,19599.0,14277.0,22569.0,13530.0,23778.0,12936.0,24861.0
CDC CovidHub Ensemble,2021-01-09,2021-01-16,1,21047.0,23425,20024.0,22415.0,18486.0,24137.0,17790.0,24787.0,17273.0,25045.0
CDC CovidHub Ensemble,2021-01-09,2021-01-23,2,21634.0,21727,19685.0,22933.0,18502.0,24708.0,17733.0,26141.0,17239.0,27385.0
CDC CovidHub Ensemble,2021-01-09,2021-01-30,3,22121.0,21857,19926.0,24214.0,18588.0,27287.0,17681.0,28353.0,16920.0,29105.0
CDC CovidHub Ensemble,2021-01-09,2021-02-06,4,22218.0,21367,20091.0,24631.0,18517.0,28735.0,17752.0,29649.0,16176.0,29649.0
CDC CovidHub Ensemble,2021-01-16,2021-01-23,1,23017.0,21727,20992.0,24397.0,19394.0,25518.0,18540.0,25915.0,18046.0,26729.0
CDC CovidHub Ensemble,2021-01-16,2021-01-30,2,23181.0,21857,20612.0,25074.0,19103.0,26213.0,18528.0,27636.0,17747.0,28441.0
CDC CovidHub Ensemble,2021-01-16,2021-02-06,3,23269.0,21367,20538.0,25922.0,18980.0,27129.0,18192.0,28641.0,17694.0,29581.0
CDC CovidHub Ensemble,2021-01-16,2021-02-13,4,22510.0,17536,20479.0,24818.0,18591.0,27613.0,17318.0,28580.0,16957.0,29287.0
CDC CovidHub Ensemble,2021-01-23,2021-01-30,1,21075.0,21857,19223.0,22587.0,18077.0,23956.0,17367.0,24811.0,16683.0,25421.0
CDC CovidHub Ensemble,2021-01-23,2021-02-06,2,20770.0,21367,18585.0,22403.0,17126.0,23566.0,16458.0,24400.0,15990.0,25005.0
CDC CovidHub Ensemble,2021-01-23,2021-02-13,3,20196.0,17536,17686.0,21590.0,16097.0,22990.0,15143.0,24084.0,14392.0,25111.0
CDC CovidHub Ensemble,2021-01-23,2021-02-20,4,18790.0,13132,16709.0,20641.0,15071.0,23012.0,14523.0,24533.0,13526.0,24960.0
CDC CovidHub Ensemble,2021-01-30,2021-02-06,1,20462.0,21367,18991.0,21949.0,17345.0,22972.0,16515.0,23842.0,16270.0,24660.0
